time,tl1,tl2,sc,reward
383,0.85,0.85,12.224391403484313,-3.5870777854966027
384,0.85,0.15,13.20216567524599,-4.470437242394884
385,0.5,0.85,13.337516536595984,-3.9919540053833584
386,0.5,0.85,12.515802507084496,-4.020590877511029
387,0.5,0.5,13.099191594353275,-4.237213665699332
388,0.15,0.5,13.644805132582555,-4.932178871099803
389,0.85,0.15,13.758374113605665,-4.421087766721256
390,0.85,0.15,12.896756342499422,-5.490820053450146
391,0.15,0.15,14.728206363627942,-5.504196016189065
392,0.15,0.85,13.122418131802219,-4.786049891907852
393,0.15,0.85,12.888830188992753,-5.163589061509894
394,0.5,0.85,12.613220836349718,-4.432633049739033
395,0.85,0.85,12.218441197962921,-3.8678354077277213
396,0.15,0.85,13.285774346970893,-4.458179765308824
397,0.15,0.85,12.889274807121884,-5.070322754762243
398,0.5,0.85,12.599913122028065,-4.411276966752314
399,0.5,0.15,13.889466366969764,-4.808596020911801
400,0.5,0.5,13.167118910706119,-4.649393983374364
401,0.5,0.15,13.643815899820135,-4.92056052867252
402,0.15,0.15,14.365380527069782,-5.5622877283254795
403,0.15,0.15,14.252722073262289,-5.52743270104363
404,0.15,0.5,13.61009437192772,-5.1078812413824615
405,0.5,0.5,13.120295226618236,-4.468034643597349
406,0.85,0.15,13.170948390771429,-4.820745135525006
407,0.5,0.5,13.465867204956984,-4.583445132546358
408,0.5,0.5,13.001917039381965,-4.303162516527336
409,0.85,0.85,12.164805342229785,-3.8444389392084615
410,0.5,0.15,13.68145823232966,-4.740308855439533
411,0.85,0.5,12.52136214152031,-4.355987756363426
412,0.85,0.15,12.951230617725981,-4.834121098263925
413,0.5,0.15,13.607025290893437,-5.250013328027673
414,0.15,0.15,14.344831189298555,-5.480959331334499
415,0.5,0.85,12.567887542629466,-4.274793160037489
416,0.85,0.5,12.827082775452318,-3.9373299126529
417,0.5,0.5,13.108424433469196,-4.385598580062343
418,0.5,0.85,12.551937425470006,-4.0635966278142055
419,0.85,0.85,12.221535161018114,-3.704060128092902
420,0.15,0.5,13.677501301279982,-4.763545540294098
421,0.85,0.15,13.808716261352224,-4.327501892644216
422,0.5,0.15,13.712235615895896,-5.428075651172258
423,0.15,0.5,13.946938441546052,-4.857738091703417
424,0.85,0.15,13.848133917199869,-4.3391202350714995
425,0.85,0.5,12.715622396804434,-4.69078230266553
426,0.15,0.15,14.389911859261511,-5.388012591916237
427,0.85,0.5,12.623854693044677,-4.166440891456599
428,0.85,0.5,12.506292117979882,-4.238536881881877
429,0.85,0.85,12.232193334163517,-3.7274565966121624
430,0.5,0.15,13.697733162061333,-4.695716087598248
431,0.5,0.5,13.089958755237355,-4.46803464359735
432,0.15,0.5,13.61848708635008,-4.911142355442473
433,0.15,0.15,14.431426539724594,-5.457722646479934
434,0.15,0.85,13.269400997806102,-4.948706685889811
435,0.15,0.85,12.876204849124743,-5.175047620272483
436,0.5,0.85,12.600246147994216,-4.427764179459315
437,0.85,0.5,12.758984197699732,-4.022125929049834
438,0.5,0.5,13.139420393358359,-4.402085792769345
439,0.15,0.5,13.625279038827436,-4.871418457880906
440,0.85,0.5,12.89882772645989,-3.9935410229214683
441,0.5,0.5,13.122273692143075,-4.435060218183346
442,0.85,0.15,13.248153433463923,-4.551765639385864
443,0.5,0.85,13.372630929646938,-4.104695793249883
444,0.5,0.5,13.14766399971186,-4.204239240285329
445,0.15,0.15,14.264899480683951,-5.457722646479935
446,0.85,0.5,12.64252152985398,-4.3542409551606225
447,0.5,0.15,13.52390391052181,-5.081837709998384
448,0.85,0.85,12.284936174671763,-4.008214218843281
449,0.85,0.85,12.139397030528531,-3.563681316977342
450,0.85,0.5,12.58251046871181,-3.8241347567919437
451,0.85,0.85,12.22841846212749,-3.7274565966121624
452,0.85,0.85,12.140065501214906,-3.5168883799388224
453,0.5,0.15,13.676746014478075,-4.7191125561175085
454,0.85,0.85,12.293175849309801,-4.008214218843281
455,0.85,0.5,12.58063546951826,-3.8310440126042025
456,0.85,0.85,12.218187626167076,-3.7274565966121624
457,0.5,0.85,12.569859807493605,-3.835912882883921
458,0.5,0.15,14.017536524957826,-4.609497182109883
459,0.85,0.85,12.353051934529468,-4.148593029958841
460,0.5,0.15,13.668230116655302,-4.747218111251793
461,0.5,0.15,13.51508044337777,-5.114492568082998
462,0.15,0.85,13.766817666282286,-4.572925136599404
463,0.85,0.15,14.578392135822764,-4.010131622819611
464,0.15,0.15,14.884031639603602,-5.643616125316458
465,0.85,0.5,12.620227506249138,-4.166440891456599
466,0.5,0.15,13.528067520158686,-5.0303356863448405
467,0.15,0.85,13.668876252532083,-4.53822989298225
468,0.5,0.5,13.495544187829584,-4.286675303820335
469,0.85,0.15,13.196116618574358,-4.785570540913769
470,0.5,0.5,13.432563035288842,-4.566957919839357
471,0.5,0.85,12.553136872607013,-4.0471094151072045
472,0.5,0.15,13.971032411680554,-4.689104760897711
473,0.5,0.5,13.134803973800398,-4.583445132546358
474,0.15,0.85,13.219272296223567,-4.656969855890186
475,0.15,0.5,13.704321860717094,-5.1584786585920055
476,0.85,0.85,12.31330143397541,-4.101800092920321
477,0.85,0.85,12.15300226073478,-3.7040601280929017
478,0.5,0.85,12.565834128897592,-3.892283776817183
479,0.5,0.15,13.979603692830528,-4.644511993056427
480,0.85,0.5,12.576323961276081,-4.555565946159426
481,0.85,0.85,12.262184727785707,-3.8444389392084615
482,0.85,0.85,12.1386054458297,-3.5402848484580822
483,0.85,0.15,13.260176930621332,-4.411706395599692
484,0.85,0.15,12.86834002740504,-5.303488521631372
485,0.15,0.85,14.353649785233985,-4.267492776531471
486,0.15,0.85,12.91904442369649,-5.058864195999655
487,0.85,0.85,12.507835127909516,-3.9146283447662418
488,0.5,0.15,13.606768106651025,-4.862000284650858
489,0.85,0.5,12.540147126448154,-4.424136776388666
490,0.5,0.5,13.089958755237355,-4.352624154648341
491,0.5,0.85,12.553256402486566,-4.0635966278142055
492,0.5,0.85,12.503044767748118,-4.105067326578576
493,0.5,0.15,13.966415992122595,-4.689104760897711
494,0.85,0.85,12.381869059655235,-4.19538596699736
495,0.5,0.85,12.565834128897592,-3.892283776817183
496,0.85,0.85,12.222937523063518,-3.6104742540158625
497,0.85,0.85,12.139837020063235,-3.6104742540158625
498,0.85,0.15,13.242779332766583,-4.376851368317844
499,0.5,0.15,13.638362975781018,-5.28031905235919
500,0.5,0.5,13.073801286784493,-4.418573005476345
501,0.5,0.85,12.575334873157136,-4.09170218294849
502,0.85,0.15,13.699855824796568,-4.281348090264474
503,0.85,0.85,12.640448788876192,-4.148593029958841
504,0.15,0.85,13.222540926979356,-4.388629494409821
505,0.15,0.5,13.710438397235983,-5.067252737376894
506,0.5,0.5,13.092596709270476,-4.484521856304351
507,0.5,0.5,12.999608829602987,-4.501009069011352
508,0.85,0.15,13.191485072045106,-4.692144450501424
509,0.85,0.15,12.868271254829029,-5.3268849901506305
510,0.15,0.85,14.340682666267433,-4.2558744341041885
511,0.85,0.5,13.458248876299695,-3.6843431143358574
